品牌,型号,名称,分组,后置原因,类型,处理建议
Naostage,BeaKon XS Kit,BeaKon 极小套件,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,Kapta Accessory Pack,Kapta 安装附件,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,Kapta Flight case,Kapta飞行箱,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,Kapta Nylon case,Kapta 尼龙罩,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,Kapta yokes Pack,Kapta 吊挂件,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,Kore,舞台追踪服务器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,Kore Flight case 4U,Kore 飞行箱,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,Tag,信标,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Nureva,DM-HDL200,HDL200显示器支架,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Nureva,HDL200-B,HDL200 system（黑色）,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Nureva,HDL200-W,HDL200 system（白色）,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Nureva,HDL300-B-D,Dual HDL300 system-升级（黑色）,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Nureva,HDL300-W-D,Dual HDL300 system-升级（白色）,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Nureva,HDL410-B-2,,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Nureva,HDL410-W-2,,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Nureva,NP-2Y,Nureva Pro服务（2年期）,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Nureva,NP-3Y,Nureva Pro服务（3年期）,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Nureva,NP-5Y,Nureva Pro服务（5年期）,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Pan Acoustics,"800388 mounting plate, PB 2xx WMP",PB 2XX系列安装板,周边配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Pan Acoustics,"801449 wall mount, tiltable, turnable (black)",壁挂可倾斜式支架,周边配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Pan Acoustics,"801451 ceiling mount, fix, (black), PB XX",天花板固定安支架,周边配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Pan Acoustics,"801839 wall mount, fix, PB xx",标准壁挂支架,周边配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,Direct Drive Mover 4Ω-DD,低频体感振动直驱换能装置Direct Drive Mover 4Ω-DD,体感振动系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,Direct Drive Mover HiZ-DD,低频体感振动直驱换能装置Direct Drive Mover HiZ-DD,体感振动系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,FW Card,固件升级卡,Ottocanali 系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,Inertial Drive Mover 4Ω-ID,低频体感振动惯性驱动式换能装置Inertial Drive Mover 4Ω-ID,体感振动系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,Inertial Drive Mover HiZ-ID,低频体感振动惯性驱动式换能装置Inertial Drive Mover HiZ-ID,体感振动系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,KAESOP Board,KAESOP板,DIGAM,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,Smart Card,智能卡,DIGAM,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,Step-up Card,设置卡,DIGAM,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,WMP Level Square Black,被动式墙面旋钮控制器,墙挂式控制面板,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,WMP Level Square White,被动式墙面旋钮控制器,墙挂式控制面板,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,WMP Selector Square Black,被动式墙面定位选择控制器,墙挂式控制面板,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,WMP Selector Square White,被动式墙面定位选择控制器,墙挂式控制面板,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Shure,WADRM,双通道机架,电源,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Shure,WASRM,单通道机架,电源,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,1/2 U Surface Mount Bracket,1/2U机架安装支架,配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,2 Line Analog Telephone Interface Card,2线路模拟电话接口卡,输入输出扩展卡,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,2 Line VoIP Interface Card,2线路VOIP接口卡,输入输出扩展卡,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,4 Channel Analog Out Card,4通道模拟输出卡,输入输出扩展卡,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,4 Channel Digital In Card,4通道数字输入卡,输入输出扩展卡,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,4 Channel Digital Out Card,4通道数字输出卡,输入输出扩展卡,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,ARC-2e,外部控制器,网络型墙面控制器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,ARC-2e Aluminum Faceplate,外部控制器,网络型墙面控制器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,ARC-EX4e,外部控制器,网络型墙面控制器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,ARC-K1e,外部控制器,网络型墙面控制器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,ARC-Pse,外部控制器供电电源,网络型墙面控制器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,ARC-SW4e,外部控制器,网络型墙面控制器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,Control Server,控制服务器,配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,T-10 Glass,网络型墙面触摸控制屏,自适应外部控制面板控制器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,W1,网络型墙面控制器,网络型墙面触摸控制屏,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,W2,网络型墙面控制器,网络型墙面触摸控制屏,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,W3,网络型墙面控制器,网络型墙面触摸控制屏,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,xIO Bluetooth,蓝牙音频面板,蓝牙及模拟音频面板,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,CAT5e STP,CAT5e STP 线缆,配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,CoCon Authentication,签到表决控制插件,CoCon控制软件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,CoCon Import/Export,数据导入导出模块,CoCon控制软件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,CoCon Signage,显示控制插件,CoCon控制软件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,CoCon Video Routing,视频路由模块,CoCon控制软件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,CoCon Voting,表决控制插件,CoCon控制软件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,Confidea APPS,接入点电源,Confidea无线会议系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,Confidea F-CS,旁听面板,Plixus多媒体会议系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,D-Cerno PS,备用电源,D-Cerno数字会议讨论系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,ICC5/10,10米连接线,配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,ICC5/2,2米连接线,配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,ICC5/20,20米连接线,配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,ICC5/5,5米连接线,配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,Lingua CHC,红外接收器充电箱,LINGUA 数字红外语言分配系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,Lingua RAD Mount,红外辐射板安装支架,LINGUA 数字红外语言分配系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,Lingua RAD_H,红外辐射板,LINGUA 数字红外语言分配系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,MID,射频识别卡,配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,Plixus AE-R PS,Plixus AE-R电源,Plixus多媒体会议系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,Plixus NEXT,网络扩展器,Plixus多媒体会议系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,Plixus PS,辅助电源,Plixus多媒体会议系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,Plixus V-REQ,视频请求面板,Plixus多媒体会议系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,Plixus V-SEL,视频选择面板,Plixus多媒体会议系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,uniCOS F/MM10 Bracket,半嵌入式安装支架(10寸屏),Plixus多媒体会议系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Televic,uniCOS F/MM7 Bracket,半嵌入式安装支架(7寸屏),Plixus多媒体会议系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Tetonic,CGF,安装支架,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Tetonic,CTL,安装支架,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Tetonic,EHL,安装支架,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Tetonic,LS-118,单18寸超低,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Tetonic,LS-212,双12寸超低,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Tetonic,LS-218,双18寸超低,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,AVIP-BLNK-1,机架安装套件挡板,配件及其它,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,AVIP-Rackmount-14,机架安装套件,配件及其它,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,AVIP-Rackmount-3,机架安装套件,配件及其它,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetD5-WP-C-B,面板式编码器（黑）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetD5-WP-C-BT-B,面板式编码器（黑）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetD5-WP-C-BT-W,面板式编码器（白）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetD5-WP-C-W,面板式编码器（白）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE-WP-B,面板式编码器（黑）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE-WP-BT-B,面板式编码器（黑/蓝牙）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE-WP-BT-W,面板式编码器（白/蓝牙）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE-WP-H-B,面板式编码器（黑/仅HDMI）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE-WP-H-W,面板式编码器（白/仅HDMI）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE-WP-W,面板式编码器（白）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE5-WP-B,面板式编码器（黑）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE5-WP-BT-B,面板式编码器（黑/蓝牙）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE5-WP-BT-W,面板式编码器（白/蓝牙）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE5-WP-H-B,面板式编码器（黑/仅HDMI）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE5-WP-H-W,面板式编码器（白/仅HDMI）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,DuetE5-WP-W,面板式编码器（白）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E-WP-B,面板式编码器（黑）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E-WP-BT-B,面板式编码器（黑/蓝牙）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E-WP-BT-W,面板式编码器（白/蓝牙）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E-WP-H-B,面板式编码器（黑/仅HDMI）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E-WP-H-W,面板式编码器（白/仅HDMI）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E-WP-W,面板式编码器（白）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E5-WP-B,面板式编码器（黑）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E5-WP-BT-B,面板式编码器（黑/蓝牙）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E5-WP-BT-W,面板式编码器（白/蓝牙）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E5-WP-H-B,面板式编码器（黑/仅HDMI）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E5-WP-H-W,面板式编码器（白/仅HDMI）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,E5-WP-W,面板式编码器（白）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,MOD-AOSD,解码器OSD显示授权（单台设备授权）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,MOD-DANTE,DANTE功能扩展模块（4系列）,4 SERIES and Duet-2（原有产品）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,MOD-DANTE-5,DANTE功能扩展模块（5系列）,5 SERIES and Duet-5,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Visionary,X4x00 Rackmount,机架安装套件,配件及其它,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,HY128-MD,MADI扩展卡,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,HY144-D,Dante扩展卡,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,HY144-D-SRC,Dante扩展卡（带采样率转换）,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,HY256-TL,光纤扩展卡（多模）,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,HY256-TL-SMF,光纤扩展卡（单模）,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,MY8AE96S,MY-AES扩展卡,MY扩展卡,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,NY64-D,Dante扩展卡(TF系列）,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,PY-MIDI-GPI,MIDI-GPI扩展卡,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,PY64-D,Dante扩展卡（带采样率转换）,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,PY64-MD,MADI扩展卡,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,PY8-AE,AES扩展卡,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,WSG-HY128 V2,Waves扩展卡,RIVAGE PM系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ezCloud,SWL20001,集控会议室数量授权,服务端（一个项目一般配一组，如A组、B组）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ezCloud,V3.0,智慧会议预约管理系统,服务端（一个项目一般配一组，如A组、B组）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,RDD12,数字音频接入盒,五、其它设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,THP12-FR,点声源水平吊轨,THP系列安装配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,THX12-FR,点声源水平吊轨,THX系列安装配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,THXFR,点声源水平吊轨,THX系列安装配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
品牌,型号,产品名称,更新说明,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,-,墙插,数字会讨系统（数字控制-数字传输）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,-,墙插,模拟会讨系统（数字控制-模拟传输）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,-,墙插,模拟会讨系统（停产-销库存）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-AC6 FLUSH MOUNT BRACKET BLACK,墙面壁挂安装架,AC6,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-ACC-MKD10-2H,组合安装架,吊环螺栓,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-ACC-QX300-2V,QX3XX组合安装架,QX118/QX5XX水平U型架，白色,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-ACC-QX300-3V,QX3XX组合安装架,QX118/QX5XX水平U型架，白色,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-ACC-QX500-2V,QX5XX/QX118组合安装架,QX118/QX5XX水平U型架，白色,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-ACC-QX500-3V,QX5XX/QX118组合安装架,QX118/QX5XX水平U型架，白色,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-MKD1000 U-Bracket Kit Black,MKD1000 U型安装架，黑色,吊环螺栓,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-MKD800 U-Bracket Kit Black,MKD800 U型安装架，黑色,吊环螺栓,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-U-BRACKET MKC80 BLACK,MKC80 U型架,MKC50/60配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-UBKT-CPL12M Black,CPL12M U型架,Commercial系列配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-UBKT-QX3H Black,QX3XX水平U型架，黑色,QX118/QX5XX水平U型架，白色,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-UBKT-QX3H White,QX3XX水平U型架，白色,QX118/QX5XX水平U型架，白色,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-UBKT-QXH Black,QX5XX/QX118水平U型架，黑色,QX118/QX5XX水平U型架，白色,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-UBKT-V10U Black,VFR109iU型架，黑色,VFR69iU型架，黑色,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-UBKT81 U-Bracket Black,MK81XXi U型架，同时全天候版可用，黑色,MK81XXi/UB52iU型架，同时全天候版可用，白色,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,UBKT2353(用于MK2000，MK5000)U型安装架,MK23XXi/MK53XXiU型架,MK23XXi/MK53XXiU型架，不适用全天候版本，白色,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
国产优质,X4x00 Rackmount,机架安装套件,配件及其它,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
定制,定制,系统部署实施,服务端（一个项目一般配一组，如A组、B组）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
定制,定制,分布式控制器现场实施,服务端（一个项目一般配一组，如A组、B组）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
软件,SWA90001,人脸识别SDK应用,CTS智慧屏产品系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
,AB8999,ME个人监听系统配件,CQ系列(紧凑式数字调音台用于个人、现场表演、录音室与固定安装),音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
,CC-10,用于Custom Control软件的10寸控制触摸屏,dLive系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
,CC-7,用于Custom Control软件的7寸控制触摸屏,dLive系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
,CQ12T-CASE/X,CQ12T 软质手提箱包,CQ系列(紧凑式数字调音台用于个人、现场表演、录音室与固定安装),音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
,CQ18T-CASE/X,CQ18T 软质手提箱包,CQ系列(紧凑式数字调音台用于个人、现场表演、录音室与固定安装),音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
,CQ20B-CASE/X,CQ20B 软质手提箱包,CQ系列(紧凑式数字调音台用于个人、现场表演、录音室与固定安装),音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
,DT-RK19/X,DT20(M)/DT02(M)/DT22机架安装配件,dLive系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
,DT02-M/X,48kHz/96kHz 双通道 Dante输入转模拟输出转换盒（带安装配件）,dLive系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
,DT20-M/X,48kHz/96kHz 双通道模拟输入转Dante输出转换盒（带安装配件）,dLive系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,AHM-64-RK/X,AHM-64机架配件,dLive系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,AVANTIS D-PACK,Avantis插件扩展包,dLive系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,QU-16-RK19X,QU16机柜安装架,QU系列(可扩展的紧凑式数字调音台用于现场表演、录音室与固定安装),音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,ADPHT73PIN,无线头戴领夹微型乐器话筒适配器,微型领夹电容话筒,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,ADPHT74PIN,无线头戴领夹微型乐器话筒适配器,微型领夹电容话筒,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,APS910,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,APS910,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,APS911,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,APS911,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,BOOMCG,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,BOOMCG,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CABGRAB1,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CABGRAB1,录音棚话筒配件,录音棚话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CABGRAB1,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CABGRABXL,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CABGRABXL,录音棚话筒配件,录音棚话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CABGRABXL,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CBL20,有线人声手持话筒配件,有线人声手持话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CBL20,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CBL20,录音棚话筒配件,录音棚话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CBL20,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CBLHP400,耳机配件,耳机配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CBLM25,Micros话筒配件,84英寸碳纤维话筒杆,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CBLM25,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CBLM50,Micros话筒配件,Micros话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,CBLM50,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DCLAMP,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DCLAMP,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DCLIP,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DCLIP,录音棚话筒配件,录音棚话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DCLIP,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DFLEX,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DFLEX,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DFLEXMICRO,Micros话筒配件,Micros话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DFLEXMICRO,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DVICE,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DVICE,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DVICEMICRO,Micros话筒配件,Micros话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,DVICEMICRO,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
